Ativo|Preco $|Cor|Variacao %|Periodo
A|31|16711680|0|1
B|46|255|0|1
C|45|65280|0|1
D|20|16776960|0|1
E|28|16711935|0|1
F|31|65535|0|1
A|34|16711680|9|2
B|47|255|2|2
C|51|65280|12|2
D|19|16776960|-6|2
E|23|16711935|-17|2
F|27|65535|-12|2
A|31|16711680|-8|3
B|48|255|2|3
C|50|65280|-1|3
D|18|16776960|-5|3
E|26|16711935|12|3
F|25|65535|-8|3
A|30|16711680|-4|4
B|47|255|-1|4
C|49|65280|-3|4
D|16|16776960|-14|4
E|24|16711935|-6|4
F|26|65535|4|4
A|29|16711680|-4|5
B|48|255|1|5
C|49|65280|0|5
D|15|16776960|-4|5
E|22|16711935|-9|5
F|28|65535|8|5
A|20|16711680|-31|6
B|48|255|1|6
C|48|65280|-1|6
D|14|16776960|-5|6
E|24|16711935|9|6
F|26|65535|-8|6
A|23|16711680|17|7
B|54|255|11|7
C|47|65280|-2|7
D|16|16776960|13|7
E|28|16711935|15|7
F|27|65535|7|7
A|25|16711680|8|8
B|64|255|18|8
C|56|65280|19|8
D|16|16776960|-3|8
E|27|16711935|-3|8
F|23|65535|-14|8
A|27|16711680|8|9
B|62|255|-2|9
C|55|65280|-2|9
D|16|16776960|0|9
E|27|16711935|1|9
F|27|65535|13|9
A|22|16711680|-16|10
B|62|255|-1|10
C|55|65280|0|10
D|16|16776960|1|10
E|27|16711935|0|10
F|24|65535|-11|10
A|19|16711680|-17|11
B|61|255|-1|11
C|50|65280|-10|11
D|15|16776960|-6|11
E|29|16711935|5|11
F|28|65535|17|11
A|14|16711680|-24|12
B|53|255|-13|12
C|45|65280|-10|12
D|14|16776960|-2|12
E|26|16711935|-10|12
F|24|65535|-14|12
A|19|16711680|36|13
B|51|255|-3|13
C|47|65280|5|13
D|15|16776960|4|13
E|27|16711935|3|13
F|26|65535|8|13
A|20|16711680|2|14
B|58|255|12|14
C|47|65280|1|14
D|20|16776960|32|14
E|33|16711935|24|14
F|37|65535|42|14
A|15|16711680|-21|15
B|55|255|-5|15
C|43|65280|-10|15
D|19|16776960|-6|15
E|32|16711935|-4|15
F|37|65535|0|15
A|13|16711680|-18|16
B|53|255|-4|16
C|32|65280|-24|16
D|19|16776960|0|16
E|31|16711935|-4|16
F|37|65535|0|16
A|11|16711680|-11|17
B|51|255|-3|17
C|31|65280|-4|17
D|23|16776960|19|17
E|29|16711935|-6|17
F|36|65535|-2|17
A|7|16711680|-34|18
B|47|255|-8|18
C|25|65280|-20|18
D|20|16776960|-9|18
E|28|16711935|-3|18
F|40|65535|10|18
A|10|16711680|32|19
B|51|255|9|19
C|28|65280|14|19
D|25|16776960|22|19
E|30|16711935|8|19
F|38|65535|-3|19
A|8|16711680|-11|20
B|48|255|-6|20
C|27|65280|-5|20
D|23|16776960|-8|20
E|31|16711935|2|20
F|38|65535|-1|20
A|8|16711680|-10|21
B|41|255|-15|21
C|27|65280|0|21
D|23|16776960|2|21
E|32|16711935|3|21
F|41|65535|8|21
A|6|16711680|-24|22
B|32|255|-21|22
C|24|65280|-11|22
D|19|16776960|-17|22
E|27|16711935|-15|22
F|41|65535|-1|22
A|6|16711680|0|23
B|35|255|10|23
C|28|65280|18|23
D|20|16776960|4|23
E|24|16711935|-11|23
F|45|65535|11|23
A|7|16711680|15|24
B|40|255|12|24
C|33|65280|16|24
D|24|16776960|18|24
E|27|16711935|13|24
F|46|65535|2|24
A|7|16711680|6|25
B|44|255|11|25
C|32|65280|-1|25
D|28|16776960|16|25
E|30|16711935|10|25
F|51|65535|11|25
A|5|16711680|-25|26
B|53|255|20|26
C|39|65280|20|26
D|24|16776960|-15|26
E|30|16711935|1|26
F|54|65535|5|26
A|6|16711680|15|27
B|51|255|-4|27
C|42|65280|8|27
D|28|16776960|18|27
E|31|16711935|5|27
F|56|65535|4|27
A|4|16711680|-27|28
B|51|255|0|28
C|37|65280|-11|28
D|31|16776960|11|28
E|30|16711935|-4|28
F|57|65535|2|28
A|3|16711680|-30|29
B|51|255|0|29
C|36|65280|-3|29
D|36|16776960|16|29
E|30|16711935|-1|29
F|62|65535|9|29
A|3|16711680|11|30
B|43|255|-15|30
C|36|65280|0|30
D|35|16776960|-2|30
E|26|16711935|-12|30
F|56|65535|-10|30
A|1|16711680|-56|31
B|39|255|-9|31
C|32|65280|-11|31
D|24|16776960|-32|31
E|21|16711935|-20|31
F|56|65535|0|31
A|1|16711680|0|32
B|39|255|0|32
C|32|65280|0|32
D|24|16776960|0|32
E|21|16711935|0|32
F|56|65535|0|32
A|1|16711680|0|33
B|39|255|0|33
C|32|65280|0|33
D|24|16776960|0|33
E|21|16711935|0|33
F|56|65535|0|33
A|1|16711680|0|34
B|39|255|0|34
C|32|65280|0|34
D|24|16776960|0|34
E|21|16711935|0|34
F|56|65535|0|34
A|1|16711680|0|35
B|39|255|0|35
C|32|65280|0|35
D|24|16776960|0|35
E|21|16711935|0|35
F|56|65535|0|35
A|1|16711680|0|36
B|39|255|0|36
C|32|65280|0|36
D|24|16776960|0|36
E|21|16711935|0|36
F|56|65535|0|36
